company_brand,sector,stage,amount_usd,what_it_does,year,city
inthree access,Consulting,series a,58471.0,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018,Chennai
bugworks research india,Biotechnology,series a,131560.0,BUGWORKS is a drug discovery company.,2018,Bengaluru
guardianin,Healthcare,seed,,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018,Mumbai
prestloans,Credit,seed,1462.0,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018,New Delhi
wimoxez,Internet,seed,292.0,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018,Hyderabad
india accelerator,Communities,angel,,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018,Gurugram
happyemi,Consumer,seed,14618.0,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018,Bengaluru
wishup,Consumer Applications,seed,,Premium Personal Assistance service,2018,Azadpur
hanselio,Mobile,series a,58471.0,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018,Bengaluru
propelld,Education,seed,3654.0,Propelld is a student education financing platform.,2018,Bengaluru
pivotroots,Advertising,series a,,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018,Mumbai
ziffyhomes,Marketplace,seed,1754.0,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018,New Delhi
carmesi,Healthcare,seed,497003.0,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018,Gurugram
racetrack,Artificial Intelligence,seed,4999269.0,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018,Bengaluru
whr,Healthcare,seed,2092.0,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018,Pune
asteria aerospace,Aerospace,seed,,Asteria Aerospace is a robotics and artificial intelligence company.,2018,Bengaluru
faballey,E-Commerce,series b,8770648.0,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018,Noida
tranzmeo,Artificial Intelligence,pre seed,,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018,Kochi
sbi life,Insurance,private equity,10846367.0,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018,Mumbai
studds accessories,E-Commerce,private equity,14617746.0,Studds Accessories is a scooter accessories service provider in India,2018,Faridabad
design cafe,Home Decor,series b,29235492.0,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018,Bengaluru
nopaperforms solutions pvt ltd,Edtech,series b,58179.0,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018,New Delhi
rays power infra,Energy,venture series unknown,29235492.0,Rays Power Infra is a leading integrated Solar Power Company.,2018,Jaipur
authmetrik,B2B,grant,146.0,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018,Gurugram
khidki,Artificial Intelligence,seed,,Vernacular Social Network Focused on Town Level Content and Interactions,2018,Bengaluru
letstransport,Logistics,series b,14617746.0,Lets transport is a logistics solution provider.,2018,Bengaluru
next digital solutions,Digital Marketing,angel,1462.0,Next Digital Solutions is website design & Digital Marketing development company.,2018,Kota
portea medical,Healthcare,debt financing,3654436.0,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018,Bengaluru
aavas financiers,Finance,post ipo debt,29235492.0,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018,Jaipur
swiggy,Food Delivery,series h,14617746.0,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018,Bengaluru
nutrisattva proliva,Fitness,angel,,Nutrisattva is a protein innovation compan,2018,Anand
toppr,Edtech,series c,511621.0,Toppr.com is an online preparation platform for entrance exams in India.,2018,Mumbai
jagaran microfin,,debt financing,8039760.0,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018,Kolkata
vivriti capital,Financial Services,venture series unknown,416606.0,Vivriti Capital is an online platform for institutional debt in India.,2018,Chennai
be u salons,Apps,seed,438532.0,Be U is India's first subscription based Salon Chain.,2018,New Delhi
impact guru,Creative Agency,series a,29235.0,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018,Mumbai
mobikwik,Consumer Lending,series e,3508259.0,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018,Gurugram
stones2milestones,E-Learning,seed,,Stones2milestones is a Gurgaon Based Learning Company.,2018,Gurugram
generico,Healthcare,series a,,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018,Mumbai
adiuvo diagnostics,Health Diagnostics,seed,,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018,Chennai
datatrained,Edtech,seed,1754130.0,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018,Bengaluru
oneassist,Financial Services,debt financing,35083.0,OneAssist is a protection & assistance services platform.,2018,Mumbai
satin creditcare network limited scnl,Banking,post ipo debt,438532.0,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018,New Delhi
apac financial services,Finance,private equity,36544365.0,APAC Financial Services is a financial services platform.,2018,Mumbai
moglix,B2B,series c,336208.0,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018,Noida
sedemac mechatronics,Automotive,venture series unknown,,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018,Mumbai
madguy labs,E-Learning,venture series unknown,2193.0,MadGuy Labs is a Online Test-prep Platform.,2018,Hyderabad
dee dee labs,Embedded Systems,seed,,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018,Pune
fleeca,,seed,,FLEECA is a Tyre Care Provider company.,2018,Jaipur
shop101,Apps,series b,160795.0,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018,Mumbai
feedmypockets,Advertising,seed,643181.0,On Demand Staffing Platform,2018,Bengaluru
housejoy,Beauty,series b,47361.0,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018,Bengaluru
ambee,Healthcare,angel,,Ambee is an Environment analytics startup.,2018,Bengaluru
foodbuddy,Food Delivery,seed,877065.0,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018,Belgaum
ninjacart,AgTech,series b,36544365.0,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018,Bengaluru
olly smart credit card,Credit Cards,seed,,Olly is a digital credit card for India's working masses and young people.,2018,New Delhi
zestl,Software,seed,,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018,Pune
byjus,Edtech,private equity,7893583.0,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018,Bengaluru
wakefit,Manufacturing,venture series unknown,9501535.0,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018,Bengaluru
hero electric,Manufacturing,venture series unknown,23388394.0,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018,New Delhi
pentation analytics,Information Services,seed,,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018,Mumbai
perkfinance,Consumer Lending,seed,13156.0,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018,Bengaluru
roposo,Internet,series c,146177.0,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018,Gurugram
plum goodness,Beauty,series a,,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018,Thane
drstore,Hospital,seed,,Drstore is a exclusive e- commerce platform.,2018,Mumbai
wow venue,Events,venture series unknown,21927.0,Wow Venue is an online platform.,2018,Mumbai
chizel,3D Printing,seed,,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018,Pune
oto capital,Automotive,seed,730887.0,OTO Capital is a platform that allows you to own a car faster than ever.,2018,Mumbai
boodmo,Automotive,seed,1023242.0,boodmo.com - large online marketplace for auto parts in India.,2018,Gurugram
mynewcarin,Automotive,venture series unknown,14618.0,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018,Gurugram
halaplay technologies,Digital Entertainment,series a,73089.0,A daily fantasy sports platform.,2018,Bengaluru
planetspark,E-Learning,seed,233884.0,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018,Gurugram
wheelsemi,,series b,204648.0,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018,Pune
forum for innovation incubation research and entrepreneurship,Funding Platform,grant,1498319.0,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018,Margão
oyo,Hospitality,series e,1461775.0,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018,Gurugram
quikr,Classifieds,debt financing,8039760.0,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018,Bengaluru
tabono,Sports,seed,,Tabono is a one stop environment for all your fitness solution.,2018,Gurugram
learnapp,Banking,seed,292355.0,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018,Noida
shopkirana,E-Commerce,venture series unknown,29235.0,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018,Indore
fric bergen,,venture series unknown,,Fric Bergen is a leader in the specialty food industry.,2018,Alwar
articbot,Artificial Intelligence,grant,17541.0,Articbot is a conversational AI platform for automated customer support and lead generation,2018,Kannur
buildsupply,Enterprise Resource Planning (ERP),series a,3654436.0,India’s most advanced ERP system for the real estate,2018,Gurugram
fusion microfinance,Banking,series e,76012279.0,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018,New Delhi
any time doctor,Software,angel,,Anytime Doctor is a Software company.,2018,Chennai
go payments,Information Services,corporate round,,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018,Mumbai
guiddoo world,Audio,seed,11694.0,We build In-Destination Experiences!,2018,Mumbai
ion energy,Energy,venture series unknown,15217.0,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018,Mumbai
unotag,Artificial Intelligence,pre seed,1462.0,SaaS to verify counterfeit,2018,Bengaluru
civilcops,Government,pre seed,1462.0,Gov-Tech,2018,Gurugram
rockmetric,Information Technology,grant,,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018,Mumbai
classworks india,Education,undisclosed,1462.0,"Saas, Web App, Mobile App, School Education",2018,Chennai
snapmint,Consumer Lending,seed,,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018,Mumbai
artbandhu,Digital Media,pre seed,219.0,Ai platform for Art and Creative Community,2018,Bengaluru
survaider,Business Intelligence,seed,7309.0,Stethoscope for customer feedback !,2018,Bengaluru
credy,Credit,seed,20465.0,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018,Bengaluru
ichamp,E-Learning,seed,73089.0,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018,Gurugram
qandle,Software,seed,17541.0,A cloud-based HR management and employee engagement platform.,2018,Gurugram
avishkaar box,Children,seed,730887.0,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018,Delhi
gegadyne energy,Automotive,angel,,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,2018,Mumbai
hyperxchange,E-Commerce,series a,14618.0,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018,Pune
deftouch,,seed,,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2018,Bengaluru
doodhwala,Food Delivery,seed,32159.0,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018,Bengaluru
dronahq,Mobile,angel,7309.0,DronaHQ is an enterprise mobile engagement platform.,2018,Mumbai
fastfox,Rental,series a,1461775.0,FastFox: Market Network for Home Rentals (India),2018,Gurugram
buyforexonline,Travel,,29235.0,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018,Bengaluru
colivein,Consumer,seed,26312.0,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018,Bengaluru
agricxlab private limited,B2B,seed,7309.0,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018,Thane
corefactors,,seed,,"Corefactors is a leading campaign management, business communication and analytics company.",2018,Bengaluru
fincashcom,Wealth Management,seed,2193.0,A startup in the personal finance space in India .,2018,Mumbai
pandorum technologies,Biotechnology,series a,52624.0,Bengaluru based biotech startup.,2018,Bengaluru
shirsa labs,Education,seed,7309.0,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018,Mumbai
petsutra,Veterinary,seed,138869.0,Gurugram-based Online petcare platform.,2018,Gurugram
awaaz de,Internet,angel,,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,2018,Ahmedabad
pinkblue,Healthcare,seed,4385.0,PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018,Bengaluru
eduvanz,Finance,angel,7309.0,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018,Mumbai
rupeek,Financial Services,series a,99839.0,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018,Bengaluru
backpacker panda holidays private limited,Tourism,series a,20465.0,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018,Pune
shape school health and physical education,Education,seed,2924.0,Physical education start up,2018,Pune
placio,Hospitality,seed,29235.0,Placio is a student housing and a complete broker-free platform.,2018,Noida
aviom india housing finance,Finance,series a,2192662.0,Delhi based housing finance company.,2018,New Delhi
genrobotic,Market Research,seed,,A Robotic Company.,2018,Thiruvananthapuram
heyholidays,Tourism,seed,14618.0,"HeyHolidays, a global player in online vacation rentals.",2018,Bengaluru
pratilipi,Digital Media,series a,62856.0,Amazon's Kindle Direct Publishing for Indian Languages,2018,Bengaluru
sectorqube,Consumer Electronics,seed,,SectorQube develops smart kitchen devices that make food automatically.,2018,Ernakulam
food memories,Food and Beverage,seed,,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,2018,Ahmedabad
silversparro technologies pvt ltd,Analytics,seed,4385.0,Silversparro is a deep learning technology solution provider.,2018,Gurugram
creators gurukul,Facilities Support Services,angel,,A coworking space provider.,2018,Gurugram
emflux motors,Automotive,seed,5333.0,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,2018,Bengaluru
tricog health services pvt ltd,Healthcare,series a,58471.0,Predictive Healthcare Analytics Company,2018,Bengaluru
scapic,Cloud Computing,seed,7309.0,Virtual/Augmented Reality Start Up .,2018,Bengaluru
6degree,Fashion,seed,5847.0,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018,Mumbai
chrysalis ez vidya,Education,seed,,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,2018,Chennai
ekincare,Medical,series a,21927.0,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,2018,Hyderabad
streo,Music Streaming,seed,,"Live stream music from nightclubs, bars & festivals!",2018,Gurugram
groww,Finance,seed,1754.0,Groww offers a new way of investing money.,2018,Kormangala
cell propulsion,,seed,102324.0,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,2018,Bengaluru
chezuba,Internet,angel,20465.0,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,2018,Hyderabad
ontrack technologies pvt ltd,Retail,seed,,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,2018,Bengaluru
wealthtrust,Finance,seed,7309.0,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,2018,Mumbai
faclon labs,Cloud Computing,seed,,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,2018,Mumbai
awign enterprises,Business Development,seed,730887.0,Operations and manpower outsourcing startup,2018,Bengaluru
collpoll,Education,seed,,World-class Enterprise System for Education.,2018,Bengaluru
zyla health,Healthcare,seed,,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,2018,New Delhi
hubhopper,Internet,series a,7309.0,Get your daily dose of interest as summaries from news and magazine stories .,2018,Delhi
rubix108 technologies,Information Technology,seed,14618.0,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,2018,Pune
workflexi,Human Resources,seed,146177.0,"Be Smart, Work on Contract,Be Smart, Hire on Contract",2018,Bengaluru
streak,Financial Services,seed,328899.0,Algorithmic trading platform.,2018,Bengaluru
kuants,Financial Services,seed,73089.0,Algorithmic trading platform.,2018,Gurugram
niyo solutions,Finance,series a,192954.0,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,2018,Bengaluru
hippo video,Customer Service,seed,,A video recording and sharing software.,2018,Chennai
satvacart,E-Commerce,seed,,Satvacart is a Gurgaon’s largest online supermarket,2018,Gurugram
daaki,Healthcare,angel,,Sports Nutrition startup,2018,Bengaluru
simulanis,Training,seed,7309.0,A Delhi-based Augmented Reality and Virtual Reality technology development company.,2018,New Delhi
my chiraag cab,Travel,seed,14618.0,MY CHIRAAG CAB SERVICES PVT LTD,2018,Jaipur
wotu,Food and Beverage,seed,,It operates a business-to-business e-commerce portal for food and beverages.,2018,Bengaluru
flathalt,,angel,731.0,FInd your Customized Home here.,2018,Gurugram
true elements,Dietary Supplements,seed,730887.0,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,2018,Pune
trendlyne technologies,Financial Services,seed,2924.0,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,2018,Bengaluru
planys technologies,Manufacturing,series a,2049408.0,Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,2018,Chennai
healthplix,Fitness,series a,43853.0,HealthPlix is a healthtech startup,2018,Bengaluru
dishq,,seed,5847.0,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,2018,Bengaluru
entropik technology,Artificial Intelligence,seed,16080.0,The boundaries between Human and Machines are shrinking fast.,2018,Bengaluru
myhq,Collaboration,series a,7309.0,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,2018,Delhi
trell,,seed,18272.0,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,2018,Bengaluru
kidovators by gyanlab,Big Data,seed,2631.0,Building future human capital through 21st Century Skills programs for K-12,2018,Bengaluru
log 9 materials,Nanotechnology,seed,438532.0,Log 9 Materials is a nano-materials manufacturing and RnD startup,2018,Uttar Pradesh
vtion,Analytics,seed,280661.0,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,2018,Gurugram
housingmancom,,seed,1505628.0,"New Apartments, Flats for Sale in Bangalore",2018,Bengaluru
steradian semiconductors,,seed,,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,2018,Bengaluru
rupeecircle,Financial Services,seed,584710.0,RupeeCircle is a new age finance company.,2018,Mumbai
wooden street,E-Commerce,series a,14618.0,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,2018,Jaipur
the ken,Digital Media,series a,21927.0,The Ken is India’s first subscriptions-only business news site,2018,Bengaluru
saffronstays,,seed,29235.0,SaffronStays connects travellers to India's Incredible hosts.,2018,Mumbai
vebbler,File Sharing,seed,,A personal network for close people,2018,Bengaluru
foyr,Home Decor,series a,61395.0,"Foyr.com is India's first online, automated interior designer",2018,Pune
mengage,Healthcare,seed,2558.0,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,2018,Jaipur
inner being wellness,,angel,511621.0,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.",2018,Hyderabad
kobster,E-Commerce,seed,,Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,2018,Chennai
wishberry,Crowdfunding,series a,1461775.0,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,2018,Mumbai
mcxtra,Finance,seed,19003.0,McXtra is a digital insurance broking startup.,2018,Andheri
magic crate,Children,seed,,"Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",2018,Bengaluru
